ParkingSpaceId,ParkingMeterStatus,OccupancyStatus,OccupancyDateChanged
10376A,N,O,03/30/2022 06:13:53 AM
10376B,N,O,03/30/2022 06:13:53 AM
10377B,N,O,03/30/2022 06:12:42 AM
10378A,N,O,03/30/2022 23:26:52 PM
10378B,N,O,03/30/2022 23:26:52 PM
10379A,N,O,03/30/2022 06:10:48 AM
1037A,N,V,03/30/2022 23:29:10 PM
1037B,N,V,03/30/2022 23:29:10 PM
10380A,N,V,03/30/2022 06:14:42 AM
10380B,N,O,03/30/2022 06:14:42 AM
10381A,N,V,03/30/2022 23:29:47 PM
10381B,N,O,03/30/2022 23:29:47 PM
10382A,N,O,03/30/2022 06:12:54 AM
10382B,N,O,03/30/2022 06:12:54 AM
10383A,N,O,03/30/2022 11:09:28 AM
10383B,N,O,03/30/2022 11:09:28 AM
10384A,N,O,03/30/2022 22:24:57 PM
10384B,N,O,03/30/2022 22:24:57 PM
10387A,N,V,03/30/2022 06:12:42 AM
10387B,N,O,03/30/2022 06:12:42 AM
1038A,N,V,03/30/2022 23:03:29 PM
10391A,N,O,03/30/2022 06:13:42 AM
10391B,N,O,03/30/2022 06:13:42 AM
10392A,N,O,03/30/2022 10:12:37 AM
10392B,N,O,03/30/2022 10:12:37 AM
10393A,N,O,03/30/2022 07:11:41 AM
10394A,N,V,03/30/2022 06:10:42 AM
10394B,N,O,03/30/2022 06:10:42 AM
10395A,N,O,03/30/2022 06:14:42 AM
10396A,N,O,03/30/2022 07:14:00 AM
10396B,N,O,03/30/2022 07:14:00 AM
10397A,N,O,03/30/2022 21:14:52 PM
10397B,N,O,03/30/2022 21:14:52 PM
10398A,N,O,03/30/2022 14:32:41 PM
10398B,N,O,03/30/2022 14:32:41 PM
10399A,N,O,03/30/2022 12:50:56 PM
10399B,N,O,03/30/2022 12:50:56 PM
1039A,N,V,03/30/2022 22:52:07 PM
1039B,N,V,03/30/2022 22:52:07 PM
103A,N,V,03/30/2022 22:43:45 PM
103B,N,V,03/30/2022 22:43:45 PM
10401A,N,O,03/30/2022 07:13:42 AM
10402A,N,O,03/30/2022 11:28:25 AM
10402B,N,O,03/30/2022 11:28:25 AM
10404A,N,O,03/30/2022 12:47:27 PM
10404B,N,O,03/30/2022 12:47:27 PM
10405A,N,O,03/30/2022 22:59:30 PM
10405B,N,O,03/30/2022 22:59:30 PM
10406A,N,O,03/30/2022 19:02:39 PM
10406B,N,O,03/30/2022 19:02:39 PM
10407B,N,O,03/30/2022 20:37:51 PM
10408B,N,O,03/30/2022 23:25:05 PM
10409A,N,O,03/30/2022 20:37:53 PM
10409B,N,O,03/30/2022 20:37:53 PM
10410A,N,O,03/30/2022 15:40:43 PM
10410B,N,O,03/30/2022 15:40:43 PM
10411A,N,O,03/30/2022 16:50:27 PM
10411B,N,O,03/30/2022 16:50:27 PM
10413A,N,O,03/30/2022 16:07:41 PM
10413B,N,O,03/30/2022 16:07:41 PM
10435A,N,O,03/30/2022 06:14:42 AM
10435B,N,V,03/30/2022 06:14:42 AM
10436B,N,O,03/30/2022 06:13:56 AM
1043A,N,V,03/30/2022 23:29:58 PM
1043B,N,O,03/30/2022 23:29:58 PM
1044A,N,V,03/30/2022 23:29:45 PM
1044B,N,V,03/30/2022 23:29:45 PM
10452A,N,O,03/30/2022 19:56:25 PM
10452B,N,O,03/30/2022 19:56:25 PM
10453A,N,O,03/30/2022 17:41:15 PM
10453B,N,O,03/30/2022 17:41:15 PM
10454A,N,O,03/30/2022 08:47:16 AM
10456A,N,O,03/30/2022 18:23:22 PM
10456B,N,O,03/30/2022 18:23:22 PM
10457A,N,O,03/30/2022 19:24:33 PM
10457B,N,O,03/30/2022 19:24:33 PM
10458A,N,O,03/30/2022 22:41:34 PM
10458B,N,O,03/30/2022 22:41:34 PM
1045A,N,V,03/30/2022 21:46:25 PM
10461B,N,O,03/30/2022 06:14:07 AM
10462A,N,O,03/30/2022 19:21:53 PM
10462B,N,O,03/30/2022 19:21:53 PM
10463A,N,O,03/30/2022 19:00:47 PM
10463B,N,O,03/30/2022 19:00:47 PM
10464A,N,O,03/30/2022 18:09:58 PM
10464B,N,O,03/30/2022 18:09:58 PM
10465A,N,O,03/30/2022 23:28:11 PM
10465B,N,O,03/30/2022 23:28:11 PM
10466A,N,O,03/30/2022 18:38:10 PM
10466B,N,O,03/30/2022 18:38:10 PM
10467A,N,O,03/30/2022 18:28:38 PM
10467B,N,O,03/30/2022 18:28:38 PM
10468B,N,O,03/30/2022 17:12:15 PM
1046A,N,O,03/30/2022 23:27:51 PM
1046B,N,V,03/30/2022 23:27:51 PM
10471A,N,O,03/30/2022 19:25:07 PM
10472A,N,O,03/30/2022 06:12:42 AM
10474A,N,O,03/30/2022 17:09:45 PM
10474B,N,O,03/30/2022 17:09:45 PM
10475A,N,O,03/30/2022 21:57:57 PM
10475B,N,O,03/30/2022 21:57:57 PM
10476B,N,O,03/30/2022 21:52:15 PM
1047A,N,O,03/30/2022 23:29:35 PM
1047B,N,O,03/30/2022 23:29:35 PM
10481A,N,O,03/30/2022 07:58:05 AM
10481B,N,O,03/30/2022 07:58:05 AM
10482A,N,O,03/30/2022 18:08:27 PM
10482B,N,O,03/30/2022 18:08:27 PM
